['0.629218', '215.464159', '47.807342', '44073', '29.119571']
['0.538898', '142.295695', '18.358127', '29931', '22.176212']
['0.540314', '201.615099', '26.186690', '37562', '22.317439']
['0.472381', '206.023698', '47.127408', '40627', '26.506423']
['0.610408', '241.003925', '29.869935', '18568', '30.938015']
['0.522853', '146.504214', '28.077654', '30948', '26.996668']
['0.525396', '250.226489', '46.856688', '44675', '23.627004']
['0.609810', '232.050081', '-0.533287', '7949', '21.351666']
['0.503330', '153.516943', '46.076476', '37805', '17.069688']
['0.488646', '183.089041', '14.105443', '25990', '24.625462']
['0.561238', '187.143563', '15.020238', '26100', '28.099760']
['0.498020', '120.394292', '22.622097', '10016', '25.832731']
['0.677001', '229.230712', '20.858799', '5984', '37.399384']
['0.518706', '183.342154', '42.566189', '44168', '25.631626']
['0.460955', '136.002986', '23.035379', '32749', '28.090458']
['0.466761', '180.322452', '14.324479', '23691', '26.243714']
['0.526179', '201.584356', '53.080194', '41440', '20.944765']
['0.497322', '183.819707', '23.195890', '35838', '20.631204']
['0.583112', '120.444443', '12.367702', '10642', '24.349656']
['0.510945', '146.970745', '-1.688359', '2928', '16.268730']
['0.540212', '220.300665', '5.490419', '17174', '22.478781']
['0.538152', '201.586334', '35.186523', '4423', '23.610395']
['0.597879', '184.864191', '25.622025', '36206', '21.017902']
['0.527426', '139.422763', '-0.689997', '1809', '20.386020']
['0.488556', '189.267070', '37.208305', '4370', '18.364352']
['0.589420', '173.096011', '16.908333', '37172', '25.773231']
['0.563766', '153.061320', '8.115368', '23164', '25.419390']
['0.568306', '230.071641', '42.540799', '37687', '28.303643']
['0.625557', '128.375591', '38.601208', '1212', '20.989432']
['0.470089', '190.745463', '-0.068730', '1673', '16.225619']
['0.658378', '131.829219', '17.441383', '22175', '37.767146']
['0.503224', '172.373198', '10.855632', '23076', '20.027101']
['0.478005', '181.682483', '18.582286', '37668', '23.123623']
['0.497858', '214.774723', '30.547668', '29801', '24.055401']
['0.532215', '189.020231', '7.515854', '22121', '32.269529']
['0.488319', '184.479096', '18.426707', '37358', '24.112088']
['0.476378', '155.419030', '11.588048', '23544', '17.973950']
['0.459044', '147.224971', '37.958748', '12364', '21.882444']
['0.571862', '226.893227', '53.746940', '39438', '28.594638']
['0.464102', '167.182779', '26.496614', '37575', '26.088340']
['0.497979', '143.139483', '22.820035', '33182', '17.994460']
['0.534482', '254.086967', '21.142213', '8696', '27.096106']
['0.490784', '245.031270', '18.674312', '8184', '32.316845']
['0.546775', '201.674816', '44.564771', '43734', '17.106987']
['0.452317', '197.694930', '7.158096', '22542', '26.953910']
['0.568384', '161.620638', '18.633972', '36724', '20.514622']
['0.563445', '232.840946', '24.172490', '5926', '32.030701']
['0.592899', '179.242893', '51.410952', '40369', '29.619867']
['0.635776', '195.014361', '8.482583', '24803', '43.889392']
['0.591724', '142.510618', '41.789732', '11247', '27.923598']
['0.509940', '168.222197', '32.398656', '30929', '16.627321']
['0.618089', '166.907549', '50.139136', '40324', '36.076476']
['0.466196', '153.338775', '43.837168', '11935', '22.239449']
['0.524920', '204.058235', '22.317338', '35429', '18.072248']
['0.497930', '196.615421', '22.203246', '35763', '16.461368']
['0.472860', '145.325937', '18.723888', '34783', '22.580533']
['0.591997', '190.865033', '36.909403', '5122', '28.608382']
['0.539898', '124.396513', '6.384793', '17716', '21.104131']
['0.511217', '141.971215', '48.290181', '29239', '14.923860']
['0.504596', '216.891936', '40.008213', '20433', '26.018019']
['0.545228', '210.386588', '38.407404', '13511', '24.873540']
['0.502276', '184.678076', '2.486974', '14905', '20.743164']
['0.500234', '135.614358', '31.027164', '29914', '19.770420']
['0.501579', '202.105217', '29.332120', '31870', '24.056807']
['0.534246', '126.945675', '36.381553', '1118', '16.098245']
['0.529194', '146.355261', '40.618712', '11850', '27.066098']
['0.572362', '223.191010', '17.811448', '26435', '32.395960']
['0.610879', '194.632341', '57.796784', '43258', '14.971780']
['0.507353', '160.063227', '-0.929702', '3203', '22.278661']
['0.535402', '169.472608', '25.446468', '33990', '21.699617']
['0.611638', '137.630450', '8.327979', '23334', '34.413221']
['0.583242', '121.095923', '32.288385', '1188', '28.274610']
['0.587371', '148.715416', '21.009750', '37597', '32.738744']
['0.541725', '214.092434', '9.569454', '25125', '23.948397']
['0.468566', '217.808711', '10.565740', '24860', '20.890905']
['0.588883', '155.977178', '17.381602', '27541', '25.756630']
['0.564816', '238.282613', '30.014022', '18562', '23.083865']
['0.525705', '171.467337', '-0.443641', '1610', '18.924314']
['0.470348', '214.548829', '25.243629', '31789', '19.417255']
['0.529608', '185.228715', '38.171606', '4391', '19.789670']
['0.540791', '219.778351', '48.574863', '41655', '18.736854']
['0.525929', '186.979804', '5.106505', '17245', '25.498767']
['0.542948', '160.516870', '8.913925', '28056', '29.910306']
['0.572432', '239.316480', '26.354161', '5262', '25.098096']
['0.569478', '189.292159', '15.093483', '26151', '30.046663']
['0.502931', '132.326219', '6.446748', '17632', '25.179973']
['0.596357', '158.703764', '13.060048', '23670', '26.340259']
['0.473599', '176.822647', '16.740035', '37113', '21.526270']
['0.537456', '200.298956', '0.165615', '6607', '24.372789']
['0.543619', '240.322494', '10.460651', '21707', '20.262263']
['0.607387', '239.622825', '44.919635', '42080', '39.559328']
['0.629756', '242.039974', '38.918838', '21589', '39.265711']
['0.516981', '232.227093', '18.175598', '5931', '24.922928']
['0.443286', '133.729569', '39.892096', '14365', '26.969417']
['0.516547', '243.615839', '23.701316', '5269', '13.737194']
['0.541317', '248.776496', '20.241432', '8074', '26.867147']
['0.472530', '208.712145', '31.939984', '4748', '17.034994']
['0.670205', '183.952517', '12.790996', '24053', '41.724022']
['0.541039', '228.949066', '21.118277', '5653', '29.548966']
['0.583755', '154.533259', '8.777483', '22910', '19.243572']
['0.491208', '189.217203', '54.723105', '41228', '18.714514']
['0.489662', '232.597030', '15.563987', '18218', '17.383777']
['0.525301', '188.264967', '17.071391', '37224', '14.429057']
['0.444202', '197.570535', '12.461213', '26007', '19.355961']
['0.469636', '178.884487', '10.412891', '23292', '27.663005']
['0.496183', '190.808142', '27.173068', '34312', '19.556747']
['0.446923', '135.184774', '37.444156', '11924', '27.940148']
['0.554019', '157.614819', '35.901466', '13672', '27.162179']
['0.499115', '190.356966', '46.261846', '43771', '21.237325']
['0.472579', '191.571007', '19.112489', '36387', '30.816842']
['0.555531', '133.215079', '13.605303', '26540', '31.637469']
['0.530327', '201.665908', '45.495141', '45506', '22.702634']
['0.564809', '212.279173', '38.460418', '13186', '15.663607']
['0.477483', '153.770446', '45.325705', '37802', '21.171241']
['0.557467', '175.385033', '27.094383', '34162', '22.294675']
['0.605212', '178.320570', '0.243240', '1954', '30.510299']
['0.607741', '152.697878', '9.453835', '23049', '17.766528']
['0.539969', '135.313734', '40.057443', '14368', '29.544356']
['0.484060', '190.965377', '39.153293', '5116', '25.004899']
['0.457246', '215.311604', '44.548483', '42820', '32.580782']
['0.595580', '172.566964', '40.490075', '12694', '31.258250']
['0.540687', '186.683830', '4.553944', '17036', '26.036087']
['0.469071', '251.869658', '43.641255', '38678', '19.894316']
['0.500333', '198.170394', '13.539375', '25371', '25.250200']
['0.554938', '140.864431', '6.815993', '17659', '27.788475']
['0.570606', '231.766491', '41.336904', '37688', '25.747441']
['0.525483', '209.258583', '62.583061', '38306', '11.334306']
['0.617221', '207.125684', '39.576282', '13179', '36.325390']
['0.500963', '162.618131', '18.241994', '36714', '20.477086']
