['0.554380', '196.836551', '-0.544003', '1674', '57.871565']
['0.554003', '194.407847', '26.687319', '8550', '63.317060']
['0.579844', '199.305881', '2.898167', '1803', '68.767275']
['0.629070', '155.023292', '27.368562', '8090', '83.912876']
['0.499893', '142.352989', '32.652467', '7604', '64.450524']
['0.521408', '188.579159', '3.947941', '3823', '60.338270']
['0.534866', '150.709647', '17.436968', '6340', '46.267705']
['0.482995', '176.634422', '36.347769', '3481', '50.680466']
['0.496264', '213.256350', '7.246564', '4469', '47.721718']
['0.469136', '169.363709', '2.118818', '3579', '57.061219']
['0.527540', '215.942677', '45.050236', '10547', '51.979079']
['0.600580', '225.606413', '29.641152', '1343', '63.604446']
['0.510371', '240.728133', '28.882475', '3413', '41.398339']
['0.486622', '177.181023', '-0.977189', '1151', '44.172267']
['0.548559', '195.968216', '20.408959', '8582', '55.336468']
['0.465395', '133.330313', '13.235739', '6358', '46.066779']
['0.568837', '129.003215', '12.447035', '2925', '53.657173']
['0.526043', '182.667109', '22.743890', '8376', '41.179127']
['0.503044', '193.063145', '2.951370', '4191', '53.327798']
