['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['1998dh', '0.0077', [13.84, 0.28], [-1.03, 0.18], [0.13, 0.02], [32.71, 0.35], '0.128', '4', 'z', [23.245, 4.5333], 'NGC 7541', 'Ia']
['1998co', '0.0170', [15.65, 0.14], [-2.33, 1.54], [0.12, 0.05], [34.38, 0.31], '0.128', '4', '', [21.795, -13.1833], 'NGC 7131', 'Ia']
['1998ab', '0.0279', [16.11, 0.08], [0.04, 0.14], [0.14, 0.02], [35.09, 0.22], '0.000', '4', '', [12.8133, 41.9167], 'NGC 4704', 'Ia']
['1998v', '0.0172', [15.07, 0.14], [-0.27, 0.19], [0.04, 0.01], [34.26, 0.25], '0.128', '4', '', [18.3767, 15.7], 'NGC 6627', 'Ia']
['1997dt', '0.0061', [15.39, 0.36], [-0.61, 0.27], [0.56, 0.02], [33.24, 0.42], '0.128', '4', 'z', [23.0, 15.9833], 'NGC 7448', 'Ia']
['1997do', '0.0105', [14.29, 0.21], [-0.38, 0.27], [0.11, 0.02], [33.29, 0.3], '0.128', '4', 'z', [7.445, 47.1], 'UGC 3845', 'Ia']
['1997dg', '0.0300', [16.82, 0.08], [-0.84, 0.28], [0.02, 0.02], [35.97, 0.22], '0.128', '4', '', [23.67, 26.2], 'Anon.', 'Ia']
['1997bq', '0.0096', [14.42, 0.23], [-0.81, 0.14], [0.2, 0.02], [33.15, 0.31], '0.128', '4', 'z', [10.285, 73.3833], 'NGC 3147', 'Ia']
['1997bp', '0.0094', [13.92, 0.23], [0.25, 0.21], [0.26, 0.01], [32.63, 0.31], '0.128', '4', 'z', [12.7817, -11.6333], 'NGC 4680', 'Ia']
['1997y', '0.0166', [15.31, 0.13], [-1.22, 0.21], [0.06, 0.02], [34.34, 0.25], '0.019', '4', '', [12.7583, 54.7333], 'NGC 4675', 'Ia']
['1997e', '0.0133', [15.09, 0.17], [-1.85, 0.27], [0.1, 0.02], [33.95, 0.27], '0.128', '4', 'z', [6.7933, 74.4833], 'NGC 2258', 'Ia']
['2000b', '0.0201', [15.68, 0.16], [-1.89, 0.32], [0.14, 0.07], [34.43, 0.25], '0.128', '4', 'p', [7.095, 50.5833], 'NGC 2320', 'Ia']
['1999ef', '0.0380', [17.03, 0.08], [0.35, 0.36], [0.0, 0.02], [36.38, 0.22], '0.128', '4', 'p', [0.98, 12.75], 'UGC 607', 'Ia']
['1999cw', '0.0113', [14.01, 0.36], [-1.03, 1.41], [0.04, 0.21], [33.1, 0.3], '0.128', '4', 'p,d,z', [0.3333, -6.3333], 'MCG -01-2-1', 'Ia']
['1999x', '0.0258', [16.23, 0.14], [-0.86, 0.54], [0.06, 0.04], [35.28, 0.23], '0.128', '4', 'p', [8.9083, 36.5167], 'Anon.', 'Ia']
['1998ec', '0.0201', [16.15, 0.15], [-0.22, 0.57], [0.22, 0.05], [34.88, 0.24], '0.128', '4', 'p', [6.885, 50.0333], 'UGC 3576', '']
['1998dm', '0.0056', [14.62, 0.4], [0.41, 0.36], [0.32, 0.04], [33.2, 0.44], '0.128', '4', 'p,z', [1.4367, -6.1], 'MCG -01-4-44', 'Ia']
['1998dk', '0.0120', [14.86, 0.2], [-0.3, 0.55], [0.26, 0.05], [33.5, 0.28], '0.128', '4', 'p,z', [0.2417, -0.7333], 'UGC 139', 'Ia']
['1997cw', '0.0160', [15.87, 0.15], [0.79, 0.25], [0.4, 0.03], [34.29, 0.25], '0.128', '4', 'p', [0.4217, 12.8833], 'NGC 105', 'Ia?']
['1999aa', '0.0150', [14.69, 0.15], [0.91, 0.1], [-0.02, 0.01], [34.16, 0.16], '0.128', '5', '', [8.4617, 21.4833], 'NGC 2595', 'Ia']
['1999ac', '0.0095', [14.1, 0.23], [-0.3, 0.06], [0.08, 0.01], [33.18, 0.24], '0.128', '5', 'z', [16.1217, 7.9833], 'NGC 6063', '']
['1999ao', '0.0544', [17.88, 0.05], [-0.28, 0.15], [0.08, 0.01], [36.95, 0.09], '0.128', '5', '', [6.4567, -35.8333], 'Anon.', 'Ia']
['1999ar', '0.1561', [19.96, 0.03], [-0.51, 0.26], [-0.01, 0.01], [39.23, 0.08], '0.128', '5', '', [9.3383, 0.5667], 'Anon.', 'Ia']
['1999aw', '0.0393', [16.77, 0.06], [2.14, 0.24], [0.01, 0.02], [36.33, 0.1], '0.128', '5', '', [11.0267, -6.1167], 'Anon.', 'Ia']
['1999bi', '0.1241', [19.74, 0.04], [1.84, 0.58], [0.19, 0.03], [38.82, 0.11], '0.128', '5', '', [11.0217, -11.75], 'Anon.', 'Ia']
['1999bm', '0.1441', [20.4, 0.04], [-3.64, 0.85], [0.18, 0.04], [38.84, 0.16], '0.128', '5', '', [12.75, -6.4667], 'Anon.', 'Ia']
['1999bn', '0.1299', [19.56, 0.03], [0.6, 0.64], [-0.01, 0.03], [38.98, 0.13], '0.128', '5', '', [11.95, -11.45], 'Anon.', 'Ia']
['1999bp', '0.0784', [18.37, 0.03], [0.42, 0.21], [0.02, 0.02], [37.68, 0.09], '0.128', '5', '', [11.6633, -8.8667], 'Anon.', 'Ia']
['2001ah', '0.0583', [17.63, 0.06], [1.35, 0.67], [0.03, 0.02], [37.03, 0.21], '0.000', '6', '', [11.175, 55.1667], 'UGC 6211', 'Ia-p']
['2001ay', '0.0309', [16.71, 0.08], [3.06, 0.37], [0.19, 0.03], [35.93, 0.18], '0.128', '6', '', [14.4383, 26.25], 'IC 4423', 'Ia']
['2001az', '0.0406', [16.9, 0.06], [0.79, 0.42], [-0.02, 0.02], [36.37, 0.17], '0.128', '6', '', [16.575, 76.0333], 'UGC 10483', 'Ia']
['2001bf', '0.0152', [14.68, 0.15], [0.64, 0.21], [0.02, 0.02], [34.02, 0.22], '0.128', '6', '', [18.0267, 26.25], 'MCG +04-42-22', 'Ia']
['2001cp', '0.0224', [15.16, 0.2], [-1.95, 1.23], [-0.29, 0.11], [34.95, 0.24], '0.128', '6', '', [17.185, 5.8333], 'UGC 10738', 'Ia']
['2001da', '0.0160', [15.43, 0.14], [-1.7, 0.61], [0.15, 0.04], [34.17, 0.22], '0.138', '6', '', [23.8917, 8.1167], 'NGC 7780', 'Ia']
['2001eh', '0.0362', [16.57, 0.06], [1.4, 0.19], [0.03, 0.02], [35.99, 0.17], '0.128', '6', '', [1.6367, 41.65], 'UGC 1162', 'Ia']
['2001en', '0.0149', [15.04, 0.16], [-1.15, 0.24], [0.07, 0.03], [34.03, 0.22], '0.000', '6', 'z', [1.4233, 34.0333], 'NGC 523', 'Ia']
['2001ep', '0.0129', [14.87, 0.17], [-1.22, 0.16], [0.14, 0.02], [33.68, 0.23], '0.128', '6', 'z', [4.95, -4.7667], 'NGC 1699', 'Ia']
['2001fe', '0.0145', [14.63, 0.15], [0.41, 0.18], [0.03, 0.02], [33.92, 0.22], '0.128', '6', 'z', [9.6333, 25.5], 'UGC 5129', 'Ia']
['2001fh', '0.0121', [14.23, 0.25], [-2.61, 0.33], [-0.03, 0.02], [33.31, 0.3], '0.128', '6', 'z', [21.345, 44.4], 'Anon.', 'Ia']
['2001g', '0.0173', [14.91, 0.14], [-0.08, 0.36], [-0.02, 0.05], [34.25, 0.22], '0.128', '6', '', [9.16, 50.2833], 'MCG +08-17-43', 'Ia']
['2001ie', '0.0312', [16.56, 0.09], [-1.26, 0.23], [0.04, 0.03], [35.63, 0.18], '0.000', '6', '', [10.28, 60.2833], 'UGC 5542', '?']
['2001n', '0.0221', [16.51, 0.1], [-0.44, 0.27], [0.35, 0.02], [34.91, 0.19], '0.000', '6', '', [10.6667, 24.0833], 'NGC 3327', 'Ia']
['2001v', '0.0160', [14.54, 0.14], [0.77, 0.14], [0.05, 0.02], [33.82, 0.21], '0.000', '6', '', [11.9567, 25.2], 'NGC 3987', 'Ia']
['2002bf', '0.0249', [16.51, 0.11], [-2.3, 0.46], [0.3, 0.04], [34.8, 0.19], '0.000', '6', '', [10.2617, 55.6667], 'Anon.', 'Ia']
['2002bo', '0.0053', [13.91, 0.41], [-0.75, 0.12], [0.44, 0.02], [32.04, 0.44], '0.128', '6', 'z', [10.3017, 21.8333], 'NGC 3190', 'Ia']
['2002cd', '0.0097', [15.47, 0.24], [0.68, 0.21], [0.59, 0.02], [33.42, 0.29], '0.128', '6', 'z', [20.3933, 58.35], 'NGC 6916', 'Ia']
['2002ck', '0.0303', [16.24, 0.09], [-0.04, 0.16], [-0.03, 0.02], [35.63, 0.18], '0.000', '6', '', [15.7833, -0.9833], 'UGC 10030', 'Ia']
['2002cr', '0.0104', [14.18, 0.21], [-0.6, 0.13], [0.03, 0.02], [33.35, 0.26], '0.128', '6', 'z', [14.11, -5.4333], 'NGC 5468', 'Ia']
['2002de', '0.0283', [16.62, 0.08], [0.08, 0.38], [0.17, 0.01], [35.52, 0.18], '0.128', '6', '', [16.275, 35.7167], 'NGC 6104', 'Ia']
['2002dj', '0.0104', [13.93, 0.21], [-0.14, 0.15], [0.17, 0.01], [32.82, 0.26], '0.128', '6', 'z', [13.2167, -19.5167], 'NGC 5018', 'Ia']
['2002do', '0.0152', [15.28, 0.21], [-3.55, 0.48], [-0.04, 0.06], [34.26, 0.24], '0.128', '6', '', [19.9367, 40.4333], 'MCG +07-41-1', 'Ia']
['2002dp', '0.0105', [14.54, 0.21], [-0.6, 0.23], [0.14, 0.01], [33.42, 0.26], '0.128', '6', 'z', [23.475, 22.4333], 'NGC 7678', 'Ia']
['2002es', '0.0279', [16.32, 0.1], [-1.27, 0.18], [0.33, 0.03], [34.67, 0.18], '0.128', '6', 'o', [3.3967, 40.5667], 'UGC 2708', 'Ia']
['2002fk', '0.0066', [13.09, 0.33], [-0.26, 0.15], [-0.07, 0.02], [32.55, 0.37], '0.128', '6', 'z', [3.3683, -15.4], 'NGC 1309', 'Ia']
['2002g', '0.0345', [17.54, 0.09], [-1.73, 0.68], [0.27, 0.04], [35.98, 0.21], '0.000', '6', '', [13.1317, 34.0833], 'Anon.', 'Ia']
['2002ha', '0.0131', [14.66, 0.17], [-1.66, 0.25], [-0.02, 0.02], [33.83, 0.23], '0.128', '6', 'z', [20.7883, 0.3167], 'NGC 6962', 'Ia']
['2002hd', '0.0360', [16.7, 0.07], [-0.81, 0.5], [0.1, 0.02], [35.68, 0.18], '0.128', '6', '', [8.9017, -7.1833], 'MCG -01-23-8', 'Ia']
['2002he', '0.0248', [16.23, 0.1], [-2.06, 0.26], [0.01, 0.02], [35.26, 0.18], '0.128', '6', '', [8.3333, 62.8167], 'UGC 4322', 'Ia-p']
['2002hu', '0.0292', [16.59, 0.08], [0.27, 0.17], [-0.02, 0.01], [35.99, 0.17], '0.128', '6', '', [2.305, 37.4667], 'MCG +06-6-12', 'Ia']
['2002hw', '0.0163', [16.66, 0.14], [-2.3, 0.27], [0.5, 0.03], [34.45, 0.21], '0.128', '6', '', [0.1133, 8.6333], 'UGC 52', 'Ia']
['2002jy', '0.0187', [15.69, 0.12], [0.77, 0.19], [0.02, 0.01], [35.05, 0.2], '0.012', '6', '', [1.355, 40.5], 'NGC 477', 'Ia']
['2002kf', '0.0195', [15.62, 0.12], [-1.35, 0.19], [0.0, 0.02], [34.76, 0.2], '0.128', '6', '', [6.6217, 49.85], 'Anon.', 'Ia']
['2003cg', '0.0053', [15.64, 0.41], [-0.63, 0.13], [1.16, 0.01], [32.03, 0.44], '0.128', '6', 'z', [10.2383, 3.4667], 'NGC 3169', 'Ia']
['2003ch', '0.0256', [16.66, 0.09], [-1.62, 0.3], [0.04, 0.02], [35.68, 0.19], '0.128', '6', '', [7.3, 9.7], 'UGC 3787', 'Ia']
['2003cq', '0.0337', [17.2, 0.08], [-0.98, 0.25], [0.22, 0.04], [35.84, 0.18], '0.000', '6', '', [11.9367, 60.5167], 'NGC 3978', 'Ia']
['2003du', '0.0067', [13.42, 0.32], [0.03, 0.12], [-0.04, 0.02], [32.83, 0.36], '0.128', '6', 'z', [14.5767, 59.3333], 'UGC 9391', 'Ia']
