Name,R.A.,Decl.,z,,,,,,,,,
RXC J1720.1+2637...,260.0386,26.6272,0.1644,,,,,,,,,
RXC J1720.1+2740...,260.037,27.6702,0.164,,,,,,,,,
RXC J1722.2+3042...,260.5617,30.7041,0.05,,,,,,,,,
RXC J1722.4+3208...,260.6129,32.1338,0.224,,,,,,,,,
RXC J1723.3+5658...,260.8466,56.9784,0.0272,,,,,,,,,
RXC J1723.7+8553...,260.9478,85.885,0.178,,,,,,,,,
RXC J1730.4+7422...,262.6207,74.3749,0.11,,,,,,,,,
RXC J1733.0+4345...,263.2607,43.7629,0.0307,,,,,,,,,
RXC J1735.0+6406...,263.7723,64.1015,0.1406,,,,,,,,,
RXC J1735.9+1659...,263.9757,16.9943,0.0858,,,,,,,,,
RXC J1736.3+6803...,264.0919,68.0572,0.0248,,,,,,,,,
RXC J1738.1+6006...,264.5257,60.1014,0,,,,,,,,,
RXC J1740.5+3538...,265.1362,35.6475,0.0428,,,,,,,,,
RXC J1742.8+3900...,265.7013,39.0097,0.0423,,,,,,,,,
RXC J1744.2+3259...,266.0624,32.9896,0.0757,,,,,,,,,
RXC J1747.2+4512...,266.8202,45.2156,0.1565,,,,,,,,,
RXC J1749.3+4245...,267.3406,42.7621,0.2296,,,,,,,,,
RXC J1749.6+5334...,267.4225,53.5793,0.0909,,,,,,,,,
RXC J1750.2+3504...,267.5689,35.0817,0.1712,,,,,,,,,
RXC J1751.7+2304...,267.948,23.0705,0.0132,,,,,,,,,
RXC J1753.4+5205...,268.374,52.092,0.0988,,,,,,,,,
RXC J1754.0+5805...,268.5093,58.0886,0.2263,,,,,,,,,
RXC J1754.6+6803...,268.6647,68.0564,0.077,,,,,,,,,
RXC J1755.8+6236...,268.9564,62.6135,0.0266,,,,,,,,,
RXC J1800.5+6913...,270.1284,69.2236,0.0823,,,,,,,,,
RXC J1802.7+4247...,270.6811,42.7962,0.0502,,,,,,,,,
RXC J1811.0+4954...,272.7503,49.911,0.0501,,,,,,,,,
RXC J1814.2+6939...,273.5738,69.6594,0.0863,,,,,,,,,
RXC J1816.4+5314...,274.1117,53.2377,0.2764,,,,,,,,,
RXC J1819.8+3307...,274.9666,33.1331,0.2796,,,,,,,,,
RXC J1819.9+5710...,274.9807,57.1677,0,,,,,,,,,
RXC J1820.1+6857...,275.0444,68.9555,0.087,,,,,,,,,
RXC J1827.2+6134...,276.8168,61.5815,0.1014,,,,,,,,,
RXC J1832.5+6449...,278.14,64.8313,0.1623,,,,,,,,,
RXC J1832.5+6848...,278.144,68.8034,0.205,,,,,,,,,
RXC J1834.1+7057...,278.5392,70.9578,0.0824,,,,,,,,,
RXC J1836.5+6344...,279.1311,63.7423,0.0484,,,,,,,,,
RXC J1843.6+5021...,280.9128,50.3637,0.1158,,,,,,,,,
RXC J1844.0+4533...,281.0076,45.5567,0.0918,,,,,,,,,
RXC J1847.2+7320...,281.8169,73.3473,0.1125,,,,,,,,,
RXC J1852.1+5711...,283.039,57.1972,0.1094,,,,,,,,,
RXC J1853.9+6822...,283.492,68.3813,0.0928,,,,,,,,,
RXC J1854.1+6858...,283.5274,68.9715,0.2415,,,,,,,,,
RXC J1900.4+6958...,285.1195,69.9687,0.0877,,,,,,,,,
RXC J1908.3+6903...,287.0997,69.0617,0.2103,,,,,,,,,
RXC J1910.4+6741...,287.6136,67.6908,0.2471,,,,,,,,,
RXC J1920.1+6318...,290.033,63.3046,0,,,,,,,,,
RXC J1921.3+7433...,290.3389,74.5654,0,,,,,,,,,
RXC J1927.5+6549...,291.8758,65.8322,0.1886,,,,,,,,,
RXC J1935.3+6734...,293.834,67.576,0.1706,,,,,,,,,
RXC J2035.7+0046...,308.9382,0.7678,0,,,,,,,,,
RXC J2041.7+0721...,310.4251,7.3573,0.0639,,,,,,,,,
RXC J2050.7+0123...,312.6898,1.3887,0.3334,,,,,,,,,
RXC J2051.1+0216...,312.7806,2.2679,0.3211,,,,,,,,,
RXC J2057.5+1334...,314.3892,13.5709,0.2232,,,,,,,,,
RXC J2103.8+0437...,315.9612,4.6258,0.1694,,,,,,,,,
RXC J2104.9+1401...,316.226,14.0278,0.1615,,,,,,,,,
RXC J2113.8+0233...,318.4745,2.5555,0.0494,,,,,,,,,
RXC J2129.6+0005...,322.4186,0.0973,0.2347,,,,,,,,,
RXC J2151.4+1347...,327.8595,13.7979,0.2076,,,,,,,,,
RXC J2153.5+1741...,328.398,17.6868,0.2329,,,,,,,,,
RXC J2155.6+1232...,328.9198,12.5336,0.192,,,,,,,,,
RXC J2200.8+2058...,330.2201,20.9708,0.147,,,,,,,,,
RXC J2214.8+1350...,333.7198,13.8468,0.0253,,,,,,,,,
RXC J2226.8+2550...,336.7199,25.8432,0.165,,,,,,,,,
RXC J2228.6+2036...,337.1546,20.6087,0.412,,,,,,,,,
RXC J2241.8+1732...,340.4738,17.5416,0.3137,,,,,,,,,
RXC J2245.0+2637...,341.2713,26.6304,0.304,,,,,,,,,
RXC J2250.3+1054...,342.5873,10.9024,0.0768,,,,,,,,,
RXC J2256.8+0530...,344.2195,5.5115,0.196,,,,,,,,,
RXC J2300.2+2926...,345.0579,29.4419,0.0688,,,,,,,,,
RXC J2307.0+1631...,346.7632,16.5236,0.2502,,,,,,,,,
RXC J2307.6+2716...,346.9169,27.27,0.11,,,,,,,,,
RXC J2310.4+0734...,347.6099,7.5769,0.0424,,,,,,,,,
RXC J2311.1+1137...,347.7875,11.6317,0.261,,,,,,,,,
