['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['2007ci', '0.0192', [15.89, 0.12], [-3.2, 0.23], [0.13, 0.03], [34.49, 0.2], '0.006', '6', '', [11.7633, 19.7667], 'NGC 3873', 'Ia']
['2007co', '0.0266', [16.43, 0.09], [-0.39, 0.09], [0.15, 0.01], [35.32, 0.18], '0.128', '6', '', [18.385, 29.9], 'MCG +05-43-16', 'Ia']
['2007cp', '0.0377', [17.17, 0.08], [-3.68, 1.3], [0.1, 0.06], [35.8, 0.29], '0.128', '6', '', [12.7033, -17.4], 'IC 807', 'Ia']
['2007cq', '0.0247', [15.79, 0.09], [-0.62, 0.16], [0.05, 0.01], [34.91, 0.18], '0.128', '6', '', [22.245, 5.0833], 'Anon.', 'Ia']
['2007f', '0.0242', [15.86, 0.09], [0.42, 0.08], [0.01, 0.01], [35.19, 0.18], '0.435', '6', '', [13.055, 50.6167], 'UGC 8162', 'Ia']
['2007o', '0.0366', [16.75, 0.06], [-0.83, 0.14], [-0.0, 0.02], [35.97, 0.17], '0.128', '6', '', [14.935, 45.4], 'UGC 9612', 'Ia']
['2007qe', '0.0229', [16.02, 0.1], [0.53, 0.08], [0.1, 0.01], [35.14, 0.18], '0.128', '6', '', [23.9033, 27.4167], 'Anon.', 'Ia']
['2007r', '0.0312', [16.6, 0.07], [-1.76, 0.16], [-0.07, 0.02], [35.88, 0.17], '0.000', '6', '', [7.7767, 44.7833], 'UGC 4008', 'Ia']
['2007s', '0.0150', [15.78, 0.15], [1.09, 0.12], [0.45, 0.01], [34.11, 0.21], '0.128', '6', '', [10.0083, 4.4], 'UGC 5378', 'Ia']
['2008af', '0.0341', [16.94, 0.1], [-1.93, 0.29], [0.1, 0.04], [35.77, 0.18], '0.000', '6', '', [14.9917, 16.65], 'Anon.', 'Ia']
['2008bf', '0.0251', [15.68, 0.09], [0.25, 0.12], [0.03, 0.01], [34.95, 0.18], '0.000', '6', '', [12.0667, 20.25], 'NGC 4055', 'Ia']
['2008l', '0.0189', [15.11, 0.13], [-1.88, 0.28], [-0.07, 0.04], [34.37, 0.21], '0.105', '6', '', [3.2883, 41.3833], 'NGC 1259', 'Ia']
['2004ef', '0.0298', [16.88, 0.07], [-1.76, 0.06], [0.2, 0.01], [35.47, 0.12], '0.128', '7', '', [22.7033, 20.0], 'UGC 12158', 'Ia']
